               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12319,            0.035051,            0.031929,                   0,                   0,                   0,                   0,             0.12821,            0.028384,            0.036855,                 0.1,                   0,                   0
                   1,             0.12582,            0.047445,            0.030836,                   0,                   0,                   0,                   0,             0.12748,            0.028524,            0.036964,            0.099098,           9.802e-05,           9.802e-05
                   2,             0.12903,            0.029575,            0.043354,                   0,                   0,                   0,                   0,             0.12706,            0.028592,            0.037056,            0.098192,          0.00019208,          0.00019208
                   3,            0.085145,            0.026564,             0.01449,                   0,                   0,                   0,                   0,             0.12711,            0.028622,            0.037177,            0.097282,          0.00028218,          0.00028218
                   4,            0.030949,            0.025758,           0.0070566,                   0,                   0,                   0,                   0,             0.12699,            0.028649,            0.037433,            0.096368,          0.00036832,          0.00036832
                   5,             0.12538,            0.045809,            0.035163,                   0,                   0,                   0,                   0,             0.12561,            0.028853,            0.038289,            0.095451,           0.0004505,           0.0004505
                   6,             0.12568,            0.031503,            0.047793,                   0,                   0,                   0,                   0,             0.12513,            0.028868,            0.038375,            0.094529,          0.00052872,          0.00052872
                   7,             0.13125,            0.030137,            0.038578,                   0,                   0,                   0,                   0,             0.12538,            0.028807,            0.038382,            0.093603,          0.00060298,          0.00060298
                   8,             0.12479,            0.034352,            0.036095,                   0,                   0,                   0,                   0,             0.12576,            0.028927,            0.038128,            0.092673,          0.00067328,          0.00067328
                   9,            0.082776,            0.027869,            0.013913,                   0,                   0,                   0,                   0,              0.1259,            0.028977,            0.038268,             0.09174,          0.00073962,          0.00073962
                  10,             0.11825,            0.052153,            0.032099,                   0,                   0,                   0,                   0,             0.12482,            0.029143,            0.039049,            0.090802,            0.000802,            0.000802
                  11,               0.122,            0.028639,            0.040906,                   0,                   0,                   0,                   0,             0.12485,            0.029255,            0.039223,             0.08986,          0.00086042,          0.00086042
                  12,             0.12729,            0.042164,            0.032907,                   0,                   0,                   0,                   0,             0.12351,            0.029429,             0.03981,            0.088915,          0.00091488,          0.00091488
                  13,             0.10817,            0.030723,            0.045725,                   0,                   0,                   0,                   0,             0.12374,             0.02965,            0.038673,            0.087965,          0.00096538,          0.00096538
                  14,             0.12628,            0.028834,            0.040358,                   0,                   0,                   0,                   0,             0.12363,            0.029922,            0.038536,            0.087012,           0.0010119,           0.0010119
                  15,            0.029264,            0.025947,            0.007459,                   0,                   0,                   0,                   0,             0.12299,            0.029995,            0.038589,            0.086055,           0.0010545,           0.0010545
                  16,             0.12121,            0.042183,            0.042539,                   0,                   0,                   0,                   0,             0.12271,            0.030009,            0.037582,            0.085093,           0.0010931,           0.0010931
                  17,             0.13242,            0.029048,            0.038709,                   0,                   0,                   0,                   0,             0.12271,            0.030009,            0.037582,            0.084128,           0.0011278,           0.0011278
                  18,             0.12212,            0.035032,            0.034969,                   0,                   0,                   0,                   0,             0.12136,            0.030129,            0.037939,            0.083158,           0.0011585,           0.0011585
                  19,             0.12479,            0.028953,            0.036486,                   0,                   0,                   0,                   0,             0.12136,            0.030129,            0.037939,            0.082185,           0.0011852,           0.0011852
                  20,             0.12259,            0.046804,            0.029817,           0.0034247,                 0.5,           0.0035035,          0.00035035,             0.11977,             0.03021,            0.038262,            0.081208,            0.001208,            0.001208
                  21,             0.12014,             0.03621,            0.034581,           0.0034247,                 0.5,           0.0035035,          0.00035035,             0.11977,             0.03021,            0.038262,            0.080227,           0.0012268,           0.0012268
                  22,             0.12054,            0.042273,            0.034655,           0.0034483,                 0.5,           0.0039173,          0.00039173,             0.11869,            0.030177,            0.037887,            0.079242,           0.0012417,           0.0012417
                  23,              0.1178,            0.032172,            0.037372,           0.0034483,                 0.5,           0.0039173,          0.00039173,             0.11869,            0.030177,            0.037887,            0.078253,           0.0012526,           0.0012526
                  24,             0.10883,            0.035685,            0.037395,           0.0033557,                 0.5,           0.0037689,          0.00075379,             0.11647,            0.030289,            0.037382,             0.07726,           0.0012595,           0.0012595
                  25,             0.11713,            0.053099,            0.029847,           0.0033557,                 0.5,           0.0037689,          0.00075379,             0.11647,            0.030289,            0.037382,            0.076263,           0.0012625,           0.0012625
                  26,               0.109,             0.04254,            0.036468,           0.0066679,                   1,           0.0084004,            0.002109,             0.11362,             0.03043,            0.036048,            0.075262,           0.0012615,           0.0012615
                  27,             0.10875,            0.029341,            0.032237,           0.0066679,                   1,           0.0084004,            0.002109,             0.11362,             0.03043,            0.036048,            0.074257,           0.0012566,           0.0012566
                  28,            0.037821,             0.02351,           0.0074934,           0.0066693,                   1,            0.009527,           0.0047179,             0.11106,            0.030601,            0.035734,            0.073248,           0.0012477,           0.0012477
                  29,             0.11255,            0.029285,            0.031756,           0.0066693,                   1,            0.009527,           0.0047179,             0.11106,            0.030601,            0.035734,            0.072235,           0.0012348,           0.0012348
                  30,             0.11799,            0.040082,            0.024985,            0.006667,                   1,            0.010366,           0.0046916,             0.10821,            0.030888,            0.035061,            0.071218,            0.001218,            0.001218
                  31,             0.10045,            0.032144,            0.027767,            0.006667,                   1,            0.010366,           0.0046916,             0.10821,            0.030888,            0.035061,            0.070197,           0.0011972,           0.0011972
                  32,             0.11899,            0.032715,            0.037946,           0.0066679,                   1,            0.011779,           0.0052482,             0.10591,            0.031036,            0.034768,            0.069172,           0.0011725,           0.0011725
                  33,             0.11679,            0.054893,            0.031346,           0.0066679,                   1,            0.011779,           0.0052482,             0.10591,            0.031036,            0.034768,            0.068144,           0.0011438,           0.0011438
                  34,            0.098458,            0.033944,            0.032322,           0.0066679,                   1,            0.013487,           0.0026447,             0.09936,            0.031469,            0.033685,            0.067111,           0.0011111,           0.0011111
                  35,             0.11548,            0.030785,            0.027014,           0.0066679,                   1,            0.013487,           0.0026447,             0.09936,            0.031469,            0.033685,            0.066075,           0.0010745,           0.0010745
                  36,             0.11693,            0.052762,            0.030847,           0.0066714,                   1,            0.014898,           0.0030183,            0.096019,            0.031631,            0.033098,            0.065034,           0.0010339,           0.0010339
                  37,             0.10648,            0.032584,            0.032353,           0.0066714,                   1,            0.014898,           0.0030183,            0.096019,            0.031631,            0.033098,            0.063989,          0.00098938,          0.00098938
